subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	similarity_score	similarity_measure	mapping_tool	comment
http://data.europa.eu/8mn/euroscivoc/0085a6d1-0b32-479f-a560-0cbf6cffee9b	astronautical engineering	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/400107	Satellite, space vehicle and missile design and testing	semapv:SemanticSimilarityThresholdMatching	0.900	0.7289	cosine	tamar-pairwise	Target subset of astronautics
http://data.europa.eu/8mn/euroscivoc/00a28aba-3218-4825-a8ed-5929fde51130	galactic astronomy	skos:exactMatch	https://linked.data.gov.au/def/anzsrc-for/2020/510104	Galactic astronomy	semapv:LexicalMatching	0.990	0.8394	cosine	tamar-pairwise	Exact galactic astronomy concept
http://data.europa.eu/8mn/euroscivoc/00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660	clinical neurology	skos:broadMatch	https://linked.data.gov.au/def/anzsrc-for/2020/320905	Neurology and neuromuscular diseases	semapv:SemanticSimilarityThresholdMatching	0.850	0.7576	cosine	tamar-pairwise	Target covers neuromuscular diseases
http://data.europa.eu/8mn/euroscivoc/00ec24cf-bc96-4a3f-9cf9-c0715e98354c	business intelligence	skos:closeMatch	https://linked.data.gov.au/def/anzsrc-for/2020/350301	Business analytics	semapv:SemanticSimilarityThresholdMatching	0.880	0.7713	cosine	tamar-pairwise	Near-equivalent analytical business domains
http://data.europa.eu/8mn/euroscivoc/01fc32f3-a4fb-4c1b-8340-888f2fca1a90	pathology	skos:closeMatch	https://linked.data.gov.au/def/anzsrc-for/2020/320220	Pathology (excl. oral pathology)	semapv:SemanticSimilarityThresholdMatching	0.960	0.7896	cosine	tamar-pairwise	Pathology excluding oral pathology
http://data.europa.eu/8mn/euroscivoc/021bf00b-fbb1-487a-b79c-feacbb17b814	neurobiology	skos:closeMatch	https://linked.data.gov.au/def/anzsrc-for/2020/3209	Neurosciences	semapv:SemanticSimilarityThresholdMatching	0.910	0.6778	cosine	tamar-pairwise	Neurobiology and neurosciences synonymous
http://data.europa.eu/8mn/euroscivoc/02695258-7117-47a3-8b32-bbf861dae234	aircraft	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/400103	Aircraft performance and flight control systems	semapv:SemanticSimilarityThresholdMatching	0.800	0.6802	cosine	tamar-pairwise	Target narrower than aircraft
http://data.europa.eu/8mn/euroscivoc/02fb94bf-d412-425c-8f85-f9b9d5068268	planets	skos:broadMatch	https://linked.data.gov.au/def/anzsrc-for/2020/510905	Solar system planetary science (excl. planetary geology)	semapv:SemanticSimilarityThresholdMatching	0.840	0.7471	cosine	tamar-pairwise	Target includes non‑planet bodies
http://data.europa.eu/8mn/euroscivoc/034233ce-1065-4da8-b501-54f951afd7ab	political communication	skos:broadMatch	https://linked.data.gov.au/def/anzsrc-for/2020/470101	Communication studies	semapv:SemanticSimilarityThresholdMatching	0.850	0.6578	cosine	tamar-pairwise	Target covers broader communications
http://data.europa.eu/8mn/euroscivoc/03b527bb-d9bd-4191-a424-775f6af730f0	chemical process engineering	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/400408	Reaction engineering (excl. nuclear reactions)	semapv:SemanticSimilarityThresholdMatching	0.800	0.7567	cosine	tamar-pairwise	Target subset of source
http://data.europa.eu/8mn/euroscivoc/045d8dc4-1d48-4d18-b8ad-47e9df29100e	diagnostic imaging	skos:relatedMatch	https://linked.data.gov.au/def/anzsrc-for/2020/320222	Radiology and organ imaging	semapv:SemanticSimilarityThresholdMatching	0.740	0.6945	cosine	tamar-pairwise	Radiology imaging overlap
http://data.europa.eu/8mn/euroscivoc/045d8dc4-1d48-4d18-b8ad-47e9df29100e	diagnostic imaging	skos:closeMatch	https://linked.data.gov.au/def/anzsrc-for/2020/400304	Biomedical imaging	semapv:SemanticSimilarityThresholdMatching	0.860	0.7354	cosine	tamar-pairwise	Medical imaging field overlap
http://data.europa.eu/8mn/euroscivoc/052bc92d-760c-43ab-958e-2330c72a4212	economics and business	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/38	ECONOMICS	semapv:SemanticSimilarityThresholdMatching	0.950	0.7217	cosine	tamar-pairwise	Source includes business
http://data.europa.eu/8mn/euroscivoc/05cb3438-9392-4a86-b945-2ff240183683	electromagnetism and electronics	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/510404	Electronic and magnetic properties of condensed matter; superconductivity	semapv:SemanticSimilarityThresholdMatching	0.920	0.6679	cosine	tamar-pairwise	Target subset of source
http://data.europa.eu/8mn/euroscivoc/05eef62e-ff73-4063-a93d-b5ca75112e12	ichthyology	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/300504	Fish physiology and genetics	semapv:SemanticSimilarityThresholdMatching	0.860	0.7504	cosine	tamar-pairwise	Target subset of ichthyology
http://data.europa.eu/8mn/euroscivoc/060a0080-34de-404c-b235-ee69daa67ada	mining and mineral processing	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/401905	Mining engineering	semapv:SemanticSimilarityThresholdMatching	0.920	0.7162	cosine	tamar-pairwise	Source covers more than target
http://data.europa.eu/8mn/euroscivoc/0627c833-88fb-4bbd-86b4-1eb20529fb17	digital humanities	skos:narrowMatch	https://linked.data.gov.au/def/anzsrc-for/2020/430306	Digital history	semapv:SemanticSimilarityThresholdMatching	0.880	0.6705	cosine	tamar-pairwise	Source covers more than history
