subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	similarity_score	similarity_measure	mapping_tool	comment
http://data.europa.eu/8mn/euroscivoc/00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660	clinical neurology	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2728	Neurology (clinical)	semapv:SemanticSimilarityThresholdMatching	0.980	0.8394	cosine	tamar-pairwise	Clinical neurology equivalence
http://data.europa.eu/8mn/euroscivoc/00ec24cf-bc96-4a3f-9cf9-c0715e98354c	business intelligence	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1802	Information Systems and Management	semapv:SemanticSimilarityThresholdMatching	0.780	0.6696	cosine	tamar-pairwise	Target broader than BI
http://data.europa.eu/8mn/euroscivoc/01fc32f3-a4fb-4c1b-8340-888f2fca1a90	pathology	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2734	Pathology and Forensic Medicine	semapv:SemanticSimilarityThresholdMatching	0.950	0.7922	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/021bf00b-fbb1-487a-b79c-feacbb17b814	neurobiology	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2800	General Neuroscience	semapv:SemanticSimilarityThresholdMatching	0.910	0.6968	cosine	tamar-pairwise	Equivalent broad neuroscience field
http://data.europa.eu/8mn/euroscivoc/03b527bb-d9bd-4191-a424-775f6af730f0	chemical process engineering	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1508	Process Chemistry and Technology	semapv:SemanticSimilarityThresholdMatching	0.870	0.7657	cosine	tamar-pairwise	Process engineering and technology
http://data.europa.eu/8mn/euroscivoc/03ba2800-ce81-400c-b0b4-c9d84c9f9976	object detection	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1707	Computer Vision and Pattern Recognition	semapv:SemanticSimilarityThresholdMatching	0.910	0.7269	cosine	tamar-pairwise	Target covers object detection
http://data.europa.eu/8mn/euroscivoc/0432df49-4127-42da-9eae-d07d8061f62d	energy and fuels	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2100	General Energy	semapv:SemanticSimilarityThresholdMatching	0.880	0.7100	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/052bc92d-760c-43ab-958e-2330c72a4212	economics and business	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/sa:social-sciences-humanities	Social Sciences & Humanities	semapv:SemanticSimilarityThresholdMatching	0.920	0.7561	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/0adb1597-9fb5-43ec-81ba-09af6670352d	biodiversity conservation	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2309	Nature and Landscape Conservation	semapv:SemanticSimilarityThresholdMatching	0.850	0.7186	cosine	tamar-pairwise	Target covers more
http://data.europa.eu/8mn/euroscivoc/0bccc6b0-7563-4056-aff7-5436488dc37e	water engineering	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2205	Civil and Structural Engineering	semapv:SemanticSimilarityThresholdMatching	0.940	0.6747	cosine	tamar-pairwise	Target covers more fields
http://data.europa.eu/8mn/euroscivoc/0cd8fe36-dfc3-43cd-882a-5dade629fe25	computer hardware	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1708	Hardware and Architecture	semapv:SemanticSimilarityThresholdMatching	0.840	0.6513	cosine	tamar-pairwise	Hardware and architecture overlap
http://data.europa.eu/8mn/euroscivoc/0d3c1001-9a67-4245-bc15-2aef8b239df1	nuclear engineering	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2104	Nuclear Energy and Engineering	semapv:SemanticSimilarityThresholdMatching	0.880	0.7189	cosine	tamar-pairwise	Nuclear engineering and energy
http://data.europa.eu/8mn/euroscivoc/0d45044a-74d5-4bd7-b920-b92af3388576	internal medicine	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2724	Internal Medicine	semapv:LexicalMatching	0.990	0.8400	cosine	tamar-pairwise	Exact medical specialty
http://data.europa.eu/8mn/euroscivoc/0e362272-f233-4787-bfb1-1917f4c7c43a	biochemical engineering	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1502	Bioengineering	semapv:SemanticSimilarityThresholdMatching	0.900	0.8662	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/10352c4c-328e-4dac-a89c-44b6be1420e9	chemical engineering	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1500	General Chemical Engineering	semapv:SemanticSimilarityThresholdMatching	0.880	0.7321	cosine	tamar-pairwise	Equivalent chemical engineering scope
http://data.europa.eu/8mn/euroscivoc/12c980a5-034f-4cd5-8ce7-fcfe109c675c	social sciences	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/3300	General Social Sciences	semapv:SemanticSimilarityThresholdMatching	0.900	0.7377	cosine	tamar-pairwise	Equivalent social sciences umbrella
http://data.europa.eu/8mn/euroscivoc/134581fe-5bce-4d8a-9279-bbb69c824ea3	clinical microbiology	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2726	Microbiology (medical)	semapv:SemanticSimilarityThresholdMatching	0.970	0.8290	cosine	tamar-pairwise	Exact medical microbiology
http://data.europa.eu/8mn/euroscivoc/143d188d-70b4-456a-acde-7ecff3584dc7	urban drainage	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2305	Environmental Engineering	semapv:SemanticSimilarityThresholdMatching	0.850	0.6533	cosine	tamar-pairwise	Target covers urban drainage
http://data.europa.eu/8mn/euroscivoc/14443ed3-6210-4ab1-bf33-af9ae80aa4ee	complex analysis	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2603	Analysis	semapv:SemanticSimilarityThresholdMatching	0.860	0.7325	cosine	tamar-pairwise	Analysis encompasses complex analysis
http://data.europa.eu/8mn/euroscivoc/1583cad3-15fd-4040-ac6a-0a0e51923e8a	electric power transmission	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2102	Energy Engineering and Power Technology	semapv:SemanticSimilarityThresholdMatching	0.850	0.7186	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/15dd89d5-ee26-45b6-93b3-3d9b8fe7401a	geochronology	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1913	Stratigraphy	semapv:SemanticSimilarityThresholdMatching	0.780	0.7094	cosine	tamar-pairwise	Stratigraphy broader than geochronology
http://data.europa.eu/8mn/euroscivoc/1771166d-eb6d-47fc-8d0b-ecfd001efbbc	organic geochemistry	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1906	Geochemistry and Petrology	semapv:SemanticSimilarityThresholdMatching	0.900	0.6624	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/17b7bbad-4972-4fe7-aa3c-cbd21809f0bb	electric energy	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2102	Energy Engineering and Power Technology	semapv:SemanticSimilarityThresholdMatching	0.780	0.7624	cosine	tamar-pairwise	Target heading covers both
http://data.europa.eu/8mn/euroscivoc/192cfa59-26ab-465e-9338-2b957e3d79ba	history	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/1202	History	semapv:LexicalMatching	0.920			tamar-pairwise	Same historical discipline
http://data.europa.eu/8mn/euroscivoc/195984de-c722-4aa8-b43f-0a3365cecae6	water treatment processes	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/asjc/2312	Water Science and Technology	semapv:SemanticSimilarityThresholdMatching	0.880	0.6777	cosine	tamar-pairwise	Target covers broader water
