subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	similarity_score	similarity_measure	mapping_tool	comment
http://data.europa.eu/8mn/euroscivoc/003461b1-d367-4c84-b5e4-ab5e4943437d	land management	skos:narrowMatch	https://w3id.org/tamar/taxonomies/oecd/31050763	Soil conservation	semapv:LexicalMatching	0.850	0.6940	cosine	tamar-pairwise	Narrower soil aspect
http://data.europa.eu/8mn/euroscivoc/0085a6d1-0b32-479f-a560-0cbf6cffee9b	astronautical engineering	skos:narrowMatch	https://w3id.org/tamar/taxonomies/oecd/31049166	Propulsion systems engineering	semapv:SemanticSimilarityThresholdMatching	0.850	0.7032	cosine	tamar-pairwise	Target covers only propulsion
http://data.europa.eu/8mn/euroscivoc/00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660	clinical neurology	skos:exactMatch	https://w3id.org/tamar/taxonomies/oecd/31050486	Clinical neurology	semapv:LexicalMatching	0.990	0.7214	cosine	tamar-pairwise	Identical label and hierarchy
http://data.europa.eu/8mn/euroscivoc/00ec24cf-bc96-4a3f-9cf9-c0715e98354c	business intelligence	skos:broadMatch	https://w3id.org/tamar/taxonomies/oecd/31050020	Information management	semapv:SemanticSimilarityThresholdMatching	0.710	0.7039	cosine	tamar-pairwise	Target broader than BI
http://data.europa.eu/8mn/euroscivoc/01fc32f3-a4fb-4c1b-8340-888f2fca1a90	pathology	skos:exactMatch	https://w3id.org/tamar/taxonomies/oecd/31050376	Pathology	semapv:LexicalMatching	0.990	0.7800	cosine	tamar-pairwise	Identical concept and hierarchy
http://data.europa.eu/8mn/euroscivoc/0212589d-84da-40f5-a8a4-384909a60e39	anxiety disorders	skos:broadMatch	https://w3id.org/tamar/taxonomies/oecd/31050331	Psychiatric disorders	semapv:SemanticSimilarityThresholdMatching	0.880	0.6912	cosine	tamar-pairwise	covers many disorders
http://data.europa.eu/8mn/euroscivoc/021bf00b-fbb1-487a-b79c-feacbb17b814	neurobiology	skos:exactMatch	https://w3id.org/tamar/taxonomies/oecd/31050319	Neurobiology	semapv:LexicalMatching	0.980	0.7088	cosine	tamar-pairwise	Same concept and hierarchy
http://data.europa.eu/8mn/euroscivoc/02695258-7117-47a3-8b32-bbf861dae234	aircraft	skos:relatedMatch	https://w3id.org/tamar/taxonomies/oecd/31050063	Aeronautical Design and Systems Integration	semapv:SemanticSimilarityThresholdMatching	0.620	0.7032	cosine	tamar-pairwise	Design focus differs
http://data.europa.eu/8mn/euroscivoc/02fb94bf-d412-425c-8f85-f9b9d5068268	planets	skos:broadMatch	https://w3id.org/tamar/taxonomies/oecd/31048491	Planetary systems sciences	semapv:SemanticSimilarityThresholdMatching	0.850	0.7606	cosine	tamar-pairwise	covers moons, dust
http://data.europa.eu/8mn/euroscivoc/03b527bb-d9bd-4191-a424-775f6af730f0	chemical process engineering	skos:exactMatch	https://w3id.org/tamar/taxonomies/oecd/31049181	Chemical process engineering	semapv:LexicalMatching	0.990			tamar-pairwise	Identical concept and hierarchy
