subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	similarity_score	similarity_measure	mapping_tool	comment
http://data.europa.eu/8mn/euroscivoc/00a5c4f4-b7ee-41a4-bcdf-3a02e6be1660	clinical neurology	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/RT	Clinical Neurology	semapv:LexicalMatching	0.990	0.8039	cosine	tamar-pairwise	Identical clinical specialty
http://data.europa.eu/8mn/euroscivoc/01fc32f3-a4fb-4c1b-8340-888f2fca1a90	pathology	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/TM	Pathology	semapv:LexicalMatching	0.980	0.8427	cosine	tamar-pairwise	Same pathology concept
http://data.europa.eu/8mn/euroscivoc/021bf00b-fbb1-487a-b79c-feacbb17b814	neurobiology	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/RU	Neurosciences	semapv:SemanticSimilarityThresholdMatching	0.930	0.6627	cosine	tamar-pairwise	Neurosciences includes neurobiology
http://data.europa.eu/8mn/euroscivoc/0432df49-4127-42da-9eae-d07d8061f62d	energy and fuels	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/ID	Energy & Fuels	semapv:SemanticSimilarityThresholdMatching	0.970	0.6890	cosine	tamar-pairwise	Exact label and scope
http://data.europa.eu/8mn/euroscivoc/045d8dc4-1d48-4d18-b8ad-47e9df29100e	diagnostic imaging	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/VY	Radiology, Nuclear Medicine & Medical Imaging	semapv:SemanticSimilarityThresholdMatching	0.900	0.6891	cosine	tamar-pairwise	Target broader than source
http://data.europa.eu/8mn/euroscivoc/05eef62e-ff73-4063-a93d-b5ca75112e12	ichthyology	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/PI	Marine & Freshwater Biology	semapv:SemanticSimilarityThresholdMatching	0.780	0.6542	cosine	tamar-pairwise	Target covers fish biology
http://data.europa.eu/8mn/euroscivoc/060a0080-34de-404c-b235-ee69daa67ada	mining and mineral processing	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/ZQ	Mining & Mineral Processing	semapv:SemanticSimilarityThresholdMatching	0.990	0.7321	cosine	tamar-pairwise	Identical concept label
http://data.europa.eu/8mn/euroscivoc/0650224c-0f98-4b97-a6ac-f6cf00b0b636	mineralogy	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/RE	Mineralogy	semapv:LexicalMatching	0.980	0.6839	cosine	tamar-pairwise	Same mineralogy concept
http://data.europa.eu/8mn/euroscivoc/0adb1597-9fb5-43ec-81ba-09af6670352d	biodiversity conservation	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/BD	Biodiversity Conservation	semapv:LexicalMatching	0.990	0.8295	cosine	tamar-pairwise	Identical concept label
http://data.europa.eu/8mn/euroscivoc/0b94b07d-b3bc-4b89-9d2a-5815d4fadb83	fisheries	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/JU	Fisheries	semapv:LexicalMatching	0.980	0.7002	cosine	tamar-pairwise	Same fisheries concept
http://data.europa.eu/8mn/euroscivoc/0bf709d0-834b-4448-a89c-7fb04cece64a	other social sciences	skos:closeMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/WU	Social Sciences, Interdisciplinary	semapv:SemanticSimilarityThresholdMatching	0.720	0.7368	cosine	tamar-pairwise	Interdisciplinary social sciences
http://data.europa.eu/8mn/euroscivoc/0c67e976-ff93-4ca9-8ec7-ac06876e3e41	microscopy	skos:exactMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/RA	Microscopy	semapv:LexicalMatching	0.980	0.7389	cosine	tamar-pairwise	Same microscopy concept
http://data.europa.eu/8mn/euroscivoc/0cb1d432-f934-49dc-bab4-22b6ce4b1327	bioartificial liver	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/CT	Cell & Tissue Engineering	semapv:SemanticSimilarityThresholdMatching	0.880	0.7023	cosine	tamar-pairwise	Target heading covers source
http://data.europa.eu/8mn/euroscivoc/0cd8fe36-dfc3-43cd-882a-5dade629fe25	computer hardware	skos:broadMatch	https://tamar.dsd.sztaki.hu/taxonomies/wos/ES	Computer Science, Hardware & Architecture	semapv:SemanticSimilarityThresholdMatching	0.860	0.6821	cosine	tamar-pairwise	Target heading covers hardware
