subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
wos:AA	Acoustics	skos:exactMatch	oecd:31048484	Acoustics	semapv:ManualMappingCuration
wos:AF	Agricultural Economics & Policy	skos:broadMatch	oecd:31050900	Agricultural economics	semapv:ManualMappingCuration
wos:AE	Agricultural Engineering	skos:exactMatch	oecd:31050883	Agricultural engineering	semapv:ManualMappingCuration
wos:AH	Agriculture, Multidisciplinary	skos:broadMatch	oecd:31049860	Agriculture	semapv:ManualMappingCuration
wos:AD	Agriculture, Dairy & Animal Science	skos:broadMatch	oecd:31050826	Animal and dairy science	semapv:ManualMappingCuration
wos:AM	Agronomy	skos:exactMatch	oecd:31050788	Agronomy	semapv:ManualMappingCuration
wos:AQ	Allergy	skos:exactMatch	oecd:31050444	Allergy	semapv:ManualMappingCuration
wos:AY	Anatomy & Morphology	skos:exactMatch	oecd:31050293	Anatomy and morphology	semapv:ManualMappingCuration
wos:AZ	Andrology	skos:exactMatch	oecd:31050381	Andrology	semapv:ManualMappingCuration
wos:BA	Anesthesiology	skos:broadMatch	oecd:31050415	Anaesthesiology	semapv:ManualMappingCuration
wos:BF	Anthropology	skos:broadMatch	oecd:31051011	Anthropology, ethnology	semapv:ManualMappingCuration
wos:BI	Archaeology	skos:exactMatch	oecd:31051152	Archaeology	semapv:ManualMappingCuration
wos:BK	Architecture	skos:broadMatch	oecd:31051190	Arts (arts, history of arts, performing arts, music)	semapv:ManualMappingCuration
wos:BM	Area Studies	skos:broadMatch	oecd:31051068	Social and economic geography	semapv:ManualMappingCuration
wos:BP	Art	skos:broadMatch	oecd:31051191	Arts, Art history	semapv:ManualMappingCuration
wos:OR	Asian Studies	skos:broadMatch	oecd:31051107	Other social sciences	semapv:ManualMappingCuration
wos:BU	Astronomy & Astrophysics	skos:broadMatch	oecd:31048485	Astronomy (including astrophysics, space science)	semapv:ManualMappingCuration
wos:CL	Audiology & Speech-language Pathology	skos:broadMatch	oecd:31050477	Audiology	semapv:ManualMappingCuration
wos:AC	Automation & Control Systems	skos:exactMatch	oecd:31049126	Automation and control systems	semapv:ManualMappingCuration
wos:CN	Behavioral Sciences	skos:broadMatch	oecd:31050923	Behavioural sciences	semapv:ManualMappingCuration
wos:CO	Biochemical Research Methods	skos:exactMatch	oecd:31048846	Biochemical research methods	semapv:ManualMappingCuration
wos:CQ	Biochemistry & Molecular Biology	skos:exactMatch	oecd:31048817	Biochemistry and molecular biology	semapv:ManualMappingCuration
wos:BD	Biodiversity Conservation	skos:broadMatch	oecd:31049007	Biodiversity, conservation biology, conservation genetics, invasion biology	semapv:ManualMappingCuration
wos:CU	Biology	skos:broadMatch	oecd:31049013	Biology (theoretical, mathematical, thermal, cryobiology, biological rhythm), Evolutionary biology	semapv:ManualMappingCuration
wos:DA	Biophysics	skos:exactMatch	oecd:31048849	Biophysics	semapv:ManualMappingCuration
wos:DB	Biotechnology & Applied Microbiology	skos:broadMatch	oecd:31049425	Biotechnology (non-medical), bioreactors, applied microbiology	semapv:ManualMappingCuration
wos:DI	Business	skos:broadMatch	oecd:31050967	Business and Management	semapv:ManualMappingCuration
wos:DK	Business, Finance	skos:broadMatch	oecd:31050945	Economics and Business	semapv:ManualMappingCuration
wos:DQ	Cardiac & Cardiovascular Systems	skos:exactMatch	oecd:31050386	Cardiac and Cardiovascular systems	semapv:ManualMappingCuration
wos:CT	Cell & Tissue Engineering	skos:broadMatch	oecd:31050705	Tissue engineering	semapv:ManualMappingCuration
wos:DR	Cell Biology	skos:broadMatch	oecd:31048788	Cell biology, Microbiology	semapv:ManualMappingCuration
wos:EA	Chemistry, Analytical	skos:exactMatch	oecd:31048584	Analytical chemistry	semapv:ManualMappingCuration
wos:DW	Chemistry, Applied	skos:broadMatch	oecd:31048534	Chemical sciences	semapv:ManualMappingCuration
wos:EC	Chemistry, Inorganic & Nuclear	skos:exactMatch	oecd:31048550	Inorganic and nuclear chemistry	semapv:ManualMappingCuration
wos:DY	Chemistry, Multidisciplinary	skos:broadMatch	oecd:31048534	Chemical sciences	semapv:ManualMappingCuration
wos:EI	Chemistry, Physical	skos:exactMatch	oecd:31048561	Physical chemistry	semapv:ManualMappingCuration
wos:DX	Chemistry, Medicinal	skos:exactMatch	oecd:31050727	Medicinal chemistry	semapv:ManualMappingCuration
wos:EE	Chemistry, Organic	skos:exactMatch	oecd:31048535	Organic chemistry	semapv:ManualMappingCuration
wos:EO	Classics	skos:broadMatch	oecd:31051169	Classics, ancient Greek and Latin literature and art	semapv:ManualMappingCuration
wos:RT	Clinical Neurology	skos:exactMatch	oecd:31050486	Clinical neurology	semapv:ManualMappingCuration
wos:EU	Communication	skos:broadMatch	oecd:31051096	Media and communications	semapv:ManualMappingCuration
wos:EP	Computer Science, Artificial Intelligence	skos:broadMatch	oecd:31048410	Artificial intelligence, intelligent systems, multi agent systems	semapv:ManualMappingCuration
wos:ER	Computer Science, Cybernetics	skos:broadMatch	oecd:31049121	Intelligent robotics, cybernetics	semapv:ManualMappingCuration
wos:ET	Computer Science, Information Systems	skos:broadMatch	oecd:31048414	Web and information systems, database systems, information retrieval and digital libraries, data fusion	semapv:ManualMappingCuration
wos:EV	Computer Science, Interdisciplinary Applications	skos:broadMatch	oecd:31048394	Computer and information sciences	semapv:ManualMappingCuration
