Tree Level,Tree Path,Id,Abbreviation,Description
1,(Root Code),31051383,Keywords,Keywords taxonomy used for EMPP expert profile
2,31048363,31048363,Science,Science
3,31048363.31048364,31048364,NATURAL SCIENCES,NATURAL SCIENCES
4,31048363.31048364.31048365,31048365,Mathematics,Mathematics
5,31048363.31048364.31048365.31048366,31048366,"Pure mathematics, Applied mathematics","Pure mathematics, Applied mathematics"
6,31048363.31048364.31048365.31048366.31048367,31048367,Logic and foundations,Logic and foundations
6,31048363.31048364.31048365.31048366.31048368,31048368,Algebra,Algebra
6,31048363.31048364.31048365.31048366.31048369,31048369,Number theory,Number theory
6,31048363.31048364.31048365.31048366.31048370,31048370,Algorithms and complexity,Algorithms and complexity
6,31048363.31048364.31048365.31048366.31048371,31048371,Algebraic and complex geometry,Algebraic and complex geometry
6,31048363.31048364.31048365.31048366.31048372,31048372,Geometry,Geometry
6,31048363.31048364.31048365.31048366.31048373,31048373,Topology,Topology
6,31048363.31048364.31048365.31048366.31048374,31048374,"Lie groups, Lie algebras","Lie groups, Lie algebras"
6,31048363.31048364.31048365.31048366.31048375,31048375,Analysis,Analysis
6,31048363.31048364.31048365.31048366.31048376,31048376,Operator algebras and functional analysis,Operator algebras and functional analysis
6,31048363.31048364.31048365.31048366.31048377,31048377,ODE and dynamical systems,ODE and dynamical systems
6,31048363.31048364.31048365.31048366.31048378,31048378,Theoretical aspects of partial differential equati,Theoretical aspects of partial differential equations
6,31048363.31048364.31048365.31048366.31048379,31048379,Mathematical physics,Mathematical physics
6,31048363.31048364.31048365.31048366.31048380,31048380,Discrete mathematics and combinatorics,Discrete mathematics and combinatorics
6,31048363.31048364.31048365.31048366.31048381,31048381,Mathematical aspects of computer science,Mathematical aspects of computer science
6,31048363.31048364.31048365.31048366.31048382,31048382,Numerical analysis,Numerical analysis
6,31048363.31048364.31048365.31048366.31048383,31048383,Scientific computing and data processing,Scientific computing and data processing
6,31048363.31048364.31048365.31048366.31048384,31048384,Numerical analysis and scientific computing,Numerical analysis and scientific computing
6,31048363.31048364.31048365.31048366.31048385,31048385,Control theory and optimization,Control theory and optimization
6,31048363.31048364.31048365.31048366.31048386,31048386,Application of mathematics in sciences,Application of mathematics in sciences
6,31048363.31048364.31048365.31048366.31048387,31048387,Application of mathematics in industry and society,Application of mathematics in industry and society
6,31048363.31048364.31048365.31048366.31048388,31048388,Signal processing,Signal processing
6,31048363.31048364.31048365.31048366.31048389,31048389,"Statistical physics: phase transitions, noise and","Statistical physics: phase transitions, noise and fluctuations, models of complex systems, etc."
6,31048363.31048364.31048365.31048366.31053755,31053755,Mathematics for High-Performance Computing,Mathematics for High-Performance Computing
5,31048363.31048364.31048365.31048390,31048390,Statistics and probability (This includes research,"Statistics and probability (This includes research on statistical methodologies, but excludes research on applied statistics which should be classified under the relevant field of application (e.g. Economics, Sociology, etc.)"
6,31048363.31048364.31048365.31048390.31048391,31048391,Probability,Probability
6,31048363.31048364.31048365.31048390.31048392,31048392,Statistics,Statistics
6,31048363.31048364.31048365.31048390.31048393,31048393,Probability and Statistics,Probability and Statistics
6,31048363.31048364.31048365.31048390.31053756,31053756,Global Systems Science,Global Systems Science
4,31048363.31048364.31048394,31048394,Computer and information sciences,Computer and information sciences
5,31048363.31048364.31048394.31048395,31048395,"Computer sciences, information science and bioinfo","Computer sciences, information science and bioinformatics"
6,31048363.31048364.31048394.31048395.31048406,31048406,"Software engineering, operating systems, computer","Software engineering, operating systems, computer languages"
7,31048363.31048364.31048394.31048395.31048406.31053757,31053757,High performance computing,High performance computing
7,31048363.31048364.31048394.31048395.31048406.31053772,31053772,Requirements Analysis,Requirements Analysis
7,31048363.31048364.31048394.31048395.31048406.31053773,31053773,Software Design & Development,Software Design & Development
7,31048363.31048364.31048394.31048395.31048406.31053774,31053774,Software Architectures,Software Architectures
7,31048363.31048364.31048394.31048395.31048406.31053775,31053775,Software notation & tools,Software notation & tools
7,31048363.31048364.31048394.31048395.31048406.31053776,31053776,Open Source Software,Open Source Software
7,31048363.31048364.31048394.31048395.31048406.31053777,31053777,System Software,System Software
7,31048363.31048364.31048394.31048395.31048406.31053778,31053778,Software quality Management,Software quality Management
7,31048363.31048364.31048394.31048395.31048406.31053779,31053779,Open hardware,Open hardware
7,31048363.31048364.31048394.31048395.31048406.31053780,31053780,Distributed Social Networks,Distributed Social Networks
6,31048363.31048364.31048394.31048395.31048407,31048407,"Theoretical computer science, formal methods, quan","Theoretical computer science, formal methods, quantum computing"
7,31048363.31048364.31048394.31048395.31048407.31053790,31053790,Very large data bases,Very large data bases
7,31048363.31048364.31048394.31048395.31048407.31053791,31053791,Data stream analysis,Data stream analysis
7,31048363.31048364.31048394.31048395.31048407.31053792,31053792,Scalability,Scalability
7,31048363.31048364.31048394.31048395.31048407.31053793,31053793,Real time data analytics,Real time data analytics
7,31048363.31048364.31048394.31048395.31048407.31053794,31053794,Linked (open) data,Linked (open) data
6,31048363.31048364.31048394.31048395.31048408,31048408,"Cryptology, security, privacy, quantum crypto","Cryptology, security, privacy, quantum crypto"
7,31048363.31048364.31048394.31048395.31048408.31051046,31051046,Privacy,Privacy
7,31048363.31048364.31048394.31048395.31048408.31053795,31053795,Cybersecurity,Cybersecurity
7,31048363.31048364.31048394.31048395.31048408.31053796,31053796,Trustworthy ICT,Trustworthy ICT
7,31048363.31048364.31048394.31048395.31048408.31053797,31053797,IT Security,IT Security
7,31048363.31048364.31048394.31048395.31048408.31053798,31053798,Trust,Trust
7,31048363.31048364.31048394.31048395.31048408.31053799,31053799,Network Security,Network Security
7,31048363.31048364.31048394.31048395.31048408.31053800,31053800,Information Security,Information Security
7,31048363.31048364.31048394.31048395.31048408.31053801,31053801,(user-centric) privacy preservation,(user-centric) privacy preservation
7,31048363.31048364.31048394.31048395.31048408.31053802,31053802,Anonymity,Anonymity
7,31048363.31048364.31048394.31048395.31048408.31053803,31053803,Digital identity,Digital identity
6,31048363.31048364.31048394.31048395.31048409,31048409,"Algorithms, distributed, parallel and network algo","Algorithms, distributed, parallel and network algorithms, algorithmic game theory"
7,31048363.31048364.31048394.31048395.31048409.31053757,31053757,High performance computing,High performance computing
6,31048363.31048364.31048394.31048395.31048410,31048410,"Artificial intelligence, intelligent systems, mult","Artificial intelligence, intelligent systems, multi agent systems"
6,31048363.31048364.31048394.31048395.31048411,31048411,"Computer graphics, computer vision, multi media, c","Computer graphics, computer vision, multi media, computer games"
7,31048363.31048364.31048394.31048395.31048411.31053804,31053804,Computer graphics,Computer graphics
7,31048363.31048364.31048394.31048395.31048411.31053805,31053805,Computer vision,Computer vision
7,31048363.31048364.31048394.31048395.31048411.31053806,31053806,Multi media,Multi media
7,31048363.31048364.31048394.31048395.31048411.31053807,31053807,Computer games,Computer games
6,31048363.31048364.31048394.31048395.31048412,31048412,"Numerical analysis, simulation, optimisation, mode","Numerical analysis, simulation, optimisation, modelling tools, data mining"
6,31048363.31048364.31048394.31048395.31048413,31048413,"Human computer interaction and interface, visualiz","Human computer interaction and interface, visualization and natural language processing"
7,31048363.31048364.31048394.31048395.31048413.31053808,31053808,Human computer interaction,Human computer interaction
7,31048363.31048364.31048394.31048395.31048413.31053809,31053809,Collaborative and social computing,Collaborative and social computing
7,31048363.31048364.31048394.31048395.31048413.31053810,31053810,Mobile devices,Mobile devices
7,31048363.31048364.31048394.31048395.31048413.31053811,31053811,Non mobile interactive devices,Non mobile interactive devices
7,31048363.31048364.31048394.31048395.31048413.31053812,31053812,Accessibility,Accessibility
7,31048363.31048364.31048394.31048395.31048413.31053813,31053813,Smart objects and interaction design,Smart objects and interaction design
7,31048363.31048364.31048394.31048395.31048413.31053814,31053814,Users and interactive retrieval,Users and interactive retrieval
