WoS_Code,WoS_Description,fos_code
AA,ACOUSTICS,1.03
AF,AGRICULTURAL ECONOMICS & POLICY,4.05
AE,AGRICULTURAL ENGINEERING,4.05
AD,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",4.02
AH,"AGRICULTURE, MULTIDISCIPLINARY",4.01
AM,AGRONOMY,4.01
AQ,ALLERGY,3.02
AY,ANATOMY & MORPHOLOGY,3.01
AZ,ANDROLOGY,3.02
BA,ANESTHESIOLOGY,3.02
BF,ANTHROPOLOGY,5.04
BI,ARCHAEOLOGY,6.01
BK,ARCHITECTURE,6.04
BM,AREA STUDIES,5.07
BP,ART,6.04
OR,ASIAN STUDIES,5.09
BU,ASTRONOMY & ASTROPHYSICS,1.03
CL,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,3.02
AC,AUTOMATION & CONTROL SYSTEMS,2.02
CN,BEHAVIORAL SCIENCES,5.01
CO,BIOCHEMICAL RESEARCH METHODS,1.06
CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,1.06
BD,BIODIVERSITY CONSERVATION,1.06
CU,BIOLOGY,1.06
DA,BIOPHYSICS,1.06
DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2.08
DI,BUSINESS,5.02
DK,"BUSINESS, FINANCE",5.02
DQ,CARDIAC & CARDIOVASCULAR SYSTEMS,3.02
CT,CELL & TISSUE ENGINEERING,2.06
DR,CELL BIOLOGY,1.06
EA,"CHEMISTRY, ANALYTICAL",1.04
DW,"CHEMISTRY, APPLIED",1.04
EC,"CHEMISTRY, INORGANIC & NUCLEAR",1.04
DX,"CHEMISTRY, MEDICINAL",3.01
DY,"CHEMISTRY, MULTIDISCIPLINARY",1.04
EE,"CHEMISTRY, ORGANIC",1.04
EI,"CHEMISTRY, PHYSICAL",1.04
EO,CLASSICS,6.02
RT,CLINICAL NEUROLOGY,3.02
EU,COMMUNICATION,5.08
EP,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.02
ER,"COMPUTER SCIENCE, CYBERNETICS",1.02
ES,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",2.02
ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.02
EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1.02
EW,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1.02
EX,"COMPUTER SCIENCE, THEORY & METHODS",1.02
FA,CONSTRUCTION & BUILDING TECHNOLOGY,2.01
FE,CRIMINOLOGY & PENOLOGY,5.05
DS,CRITICAL CARE MEDICINE,3.02
FI,CRYSTALLOGRAPHY,1.04
EN,CULTURAL STUDIES,5.09
FS,DANCE,6.04
FU,DEMOGRAPHY,5.04
FY,"DENTISTRY, ORAL SURGERY & MEDICINE",3.02
GA,DERMATOLOGY,3.02
HY,DEVELOPMENTAL BIOLOGY,1.06
GU,ECOLOGY,1.06
GY,ECONOMICS,5.02
HA,EDUCATION & EDUCATIONAL RESEARCH,5.03
HB,"EDUCATION, SCIENTIFIC DISCIPLINES",5.03
HE,"EDUCATION, SPECIAL",5.03
HQ,ELECTROCHEMISTRY,1.04
FF,EMERGENCY MEDICINE,3.02
IA,ENDOCRINOLOGY & METABOLISM,3.02
ID,ENERGY & FUELS,2.07
AI,"ENGINEERING, AEROSPACE",2.03
IG,"ENGINEERING, BIOMEDICAL",2.06
II,"ENGINEERING, CHEMICAL",2.04
IM,"ENGINEERING, CIVIL",2.01
IQ,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.02
IH,"ENGINEERING, ENVIRONMENTAL",2.07
IX,"ENGINEERING, GEOLOGICAL",2.07
IJ,"ENGINEERING, INDUSTRIAL",2.11
IK,"ENGINEERING, MANUFACTURING",2.11
IL,"ENGINEERING, MARINE",2.07
IU,"ENGINEERING, MECHANICAL",2.03
IF,"ENGINEERING, MULTIDISCIPLINARY",2.11
IO,"ENGINEERING, OCEAN",2.07
IP,"ENGINEERING, PETROLEUM",2.07
IY,ENTOMOLOGY,1.06
JA,ENVIRONMENTAL SCIENCES,1.05
JB,ENVIRONMENTAL STUDIES,5.07
JI,ERGONOMICS,5.01
HF,ETHICS,6.03
JM,ETHNIC STUDIES,5.04
HT,EVOLUTIONARY BIOLOGY,1.06
JO,FAMILY STUDIES,5.04
JS,"FILM, RADIO, TELEVISION",6.04
JU,FISHERIES,4.01
JW,FOLKLORE,6.02
JY,FOOD SCIENCE & TECHNOLOGY,2.11
JY,FOOD SCIENCE & TECHNOLOGY,4.05
KA,FORESTRY,4.01
KI,GASTROENTEROLOGY & HEPATOLOGY,3.02
KM,GENETICS & HEREDITY,1.06
GC,GEOCHEMISTRY & GEOPHYSICS,1.05
KU,GEOGRAPHY,5.07
KV,"GEOGRAPHY, PHYSICAL",1.05
KY,GEOLOGY,1.05
LE,"GEOSCIENCES, MULTIDISCIPLINARY",1.05
LI,GERIATRICS & GERONTOLOGY,3.02
LJ,GERONTOLOGY,3.02
HL,HEALTH CARE SCIENCES & SERVICES,3.03
LQ,HEALTH POLICY & SERVICES,3.03
MA,HEMATOLOGY,3.02
MM,HISTORY,6.01
MQ,HISTORY & PHILOSOPHY OF SCIENCE,6.01
MR,HISTORY OF SOCIAL SCIENCES,6.01
MU,HORTICULTURE,4.01
MW,"HOSPITALITY, LEISURE, SPORT & TOURISM",5.09
BQ,"HUMANITIES, MULTIDISCIPLINARY",6.05
UE,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2.11
NI,IMMUNOLOGY,3.01
NM,INDUSTRIAL RELATIONS & LABOR,5.02
NN,INFECTIOUS DISEASES,3.03
NU,INFORMATION SCIENCE & LIBRARY SCIENCE,5.08
OA,INSTRUMENTS & INSTRUMENTATION,2.11
OI,INTEGRATIVE & COMPLEMENTARY MEDICINE,3.02
OE,INTERNATIONAL RELATIONS,5.06
OY,LANGUAGE & LINGUISTICS,6.02
OM,LAW,5.05
OU,LIMNOLOGY,1.06
OT,LINGUISTICS,6.02
OZ,LITERARY REVIEWS,6.02
OX,LITERARY THEORY & CRITICISM,6.02
PA,LITERATURE,6.02
PD,"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",6.02
PF,"LITERATURE, AMERICAN",6.02
PG,"LITERATURE, BRITISH ISLES",6.02
PH,"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",6.02
QC,"LITERATURE, ROMANCE",6.02
QD,"LITERATURE, SLAVIC",6.02
QL,LOGIC,1.01
QL,LOGIC,1.02
PC,MANAGEMENT,5.02
PI,MARINE & FRESHWATER BIOLOGY,1.06
QE,"MATERIALS SCIENCE, BIOMATERIALS",2.09
PK,"MATERIALS SCIENCE, CERAMICS",2.05
QF,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.05
QG,"MATERIALS SCIENCE, COATINGS & FILMS",2.05
QH,"MATERIALS SCIENCE, COMPOSITES",2.05
PM,"MATERIALS SCIENCE, MULTIDISCIPLINARY",2.05
PJ,"MATERIALS SCIENCE, PAPER & WOOD",2.05
QJ,"MATERIALS SCIENCE, TEXTILES",2.05
MC,MATHEMATICAL & COMPUTATIONAL BIOLOGY,1.06
PQ,MATHEMATICS,1.01
PN,"MATHEMATICS, APPLIED",1.01
PO,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.01
PU,MECHANICS,2.03
OO,MEDICAL ETHICS,3.03
PT,MEDICAL INFORMATICS,3.03
PW,MEDICAL LABORATORY TECHNOLOGY,2.06
PY,"MEDICINE, GENERAL & INTERNAL",3.02
OP,"MEDICINE, LEGAL",3.03
