uri,notation,WoS label,Frascati Id,Frascati short name,Frascati level,,,
1,,acoustics,31048484,Acoustics,5,,,
2,,agricultural economics & policy,31050900,Agricultural economics,5,,,
3,,agricultural engineering,31050883,Agricultural engineering,5,,,
4,,agriculture multidisciplinary,31049860,Agriculture,5,,,
5,,"agriculture, dairy & animal science",31050826,Animal and dairy science,5,,,
6,,"agriculture, multidisciplinary",31049860,Agriculture,5,,,
7,,agronomy,31050788,Agronomy,5,,,
8,,allergy,31050444,Allergy,5,19,,
9,,anatomy & morphology,31050293,Anatomy and morphology,5,,,
10,,andrology,31050381,Andrology,5,,,
11,,anesthesiology,31050415,Anaesthesiology,5,,,
12,,anthropology,31051011,"Anthropology, ethnology",5,,,
13,,archaeology,31051152,Archaeology,5,,,
14,,architecture,,,,,,
15,,area studies,,,,,,
16,,art,31051191,"Arts, Art history",5,,,
17,,asian studies,,,,,,
18,,astronomy & astrophysics,31048485,"Astronomy (including astrophysics, space science)",5,,,
19,,audiology & speech-language pathology,31050477,Audiology,,,,
20,,automation & control systems,31049126,Automation and control systems,5,,,
21,,automation control systems,31049126,Automation and control systems,5,,,
22,,behavioral sciences,31050923,Behavioural sciences,6,,,
23,,biochemical research methods,31048846,Biochemical research methods,5,,,
24,,biochemistry & molecular biology,31048817,Biochemistry and molecular biology,5,,,
25,,biochemistry molecular biology,31048817,Biochemistry and molecular biology,5,,,
26,,biodiversity conservation,31049007,"Biodiversity, conservation biology, conservation g",6,,,
27,,biology,31049013,"Biology (theoretical, mathematical, thermal, cryob",5,,,
28,,biophysics,31048849,Biophysics,5,,,
29,,biotechnology & applied microbiology,31049425,"Biotechnology (non-medical), bioreactors, applied",6,,,
30,,biotechnology applied microbiology,31049425,"Biotechnology (non-medical), bioreactors, applied",6,,,
31,,business,31050967,Business and Management,5,,,
32,,"business, finance",,,,,,
33,,cardiac & cardiovascular systems,31050386,Cardiac and Cardiovascular systems,5,,,
34,,cardiac cardiovascular systems,31050386,Cardiac and Cardiovascular systems,5,,,
35,,cell & tissue engineering,31050705,Tissue engineering,6,,,
36,,cell biology,31048788,"Cell biology, Microbiology",5,,,
37,,chemistry analytical,31048584,Analytical chemistry,5,,,
38,,chemistry applied,,,,,,
39,,chemistry inorganic nuclear,31048550,Inorganic and nuclear chemistry,5,,,
40,,chemistry multidisciplinary,,,,,,
41,,chemistry physical,31048561,Physical chemistry,6,,,
42,,"chemistry, analytical",31048584,Analytical chemistry,5,,,
43,,"chemistry, applied",,,,,,
44,,"chemistry, inorganic & nuclear",31048550,Inorganic and nuclear chemistry,5,,,
45,,"chemistry, medicinal",31050727,Medicinal chemistry,6,,,
46,,"chemistry, multidisciplinary",,,,,,
